"Country","YearRange","Estimator","LogWageVariance","FirmEffectVariance","FirmWorkerEffectsCovariance"
"Austria",3,"CRE",0.183027581484352,0.0185640563120508,0.0160263748277726
"Austria",6,"CRE",0.186586190200487,0.0218879168604566,0.0182701053071315
"Austria",3,"FE",0.183027581484352,0.0360737230167535,-0.00485774206030794
"Austria",6,"FE",0.186586190200487,0.0348222713954323,0.00438858241969554
"Austria",3,"FE-HE",0.17809005764102,0.024825333133192,0.00287846420647437
"Austria",6,"FE-HE",0.181818848007658,0.0235369264783234,0.0118277927096717
"Austria",3,"FE-HO",0.183027581484352,0.022227684447086,0.0084809656761309
"Austria",6,"FE-HO",0.186586190200487,0.0285699298673544,0.00983601435760708
"Italy",3,"CRE",0.176220994180496,0.0193832075156277,0.0155522175063759
"Italy",6,"CRE",0.16657564507251,0.0212466229300856,0.0166498579820536
"Italy",3,"FE",0.176220994180496,0.0425536469584274,-0.00739806583626336
"Italy",6,"FE",0.16657564507251,0.0384141537825972,-0.00106698075514754
"Italy",3,"FE-HE",0.180601450477205,0.0196491328084356,0.0145448127145953
"Italy",6,"FE-HE",0.168215066232678,0.0263578625587027,0.00943897159275083
"Italy",3,"FE-HO",0.176220994180496,0.0277054122298388,0.00680675665937035
"Italy",6,"FE-HO",0.16657564507251,0.0292031684966001,0.0072626533468218
"Norway",3,"CRE",0.229241081002796,0.0262231286534184,0.0140158937331992
"Norway",6,"CRE",0.238602239609636,0.0280306264517105,0.0200842192157855
"Norway",3,"FE",0.229241081002796,0.0867537553191153,-0.0473520278932054
"Norway",6,"FE",0.238602239609636,0.0582316130402837,-0.0092389528878938
"Norway",3,"FE-HE",0.226984170469757,0.0231536357272405,0.0114362634275482
"Norway",6,"FE-HE",0.23588559490477,0.029129057780087,0.0150764866271005
"Norway",3,"FE-HO",0.229241081002796,0.0342126076370433,0.00288528078325925
"Norway",6,"FE-HO",0.238602239609636,0.0330593912918911,0.0134800096595938
"Sweden",3,"CRE",0.160750664978473,0.00739171627253692,0.00719783165109972
"Sweden",6,"CRE",0.163642066983455,0.00812843969486287,0.00844296545784304
"Sweden",3,"FE",0.160750664978473,0.0379264502186557,-0.0229283541748337
"Sweden",6,"FE",0.163642066983455,0.0238228812056643,-0.00666116905185995
"Sweden",3,"FE-HE",0.161373012885385,0.0119345960631593,0.00119338716106974
"Sweden",6,"FE-HE",0.163650377625444,0.0116700079439282,0.0040521242130689
"Sweden",3,"FE-HO",0.160750664978473,0.0187058993321176,-0.00432887408428789
"Sweden",6,"FE-HO",0.163642066983455,0.0133523073466259,0.00315832657042144
"US",3,"CRE",0.435719369895301,0.0228710637566946,0.0272016673595521
"US",6,"CRE",0.413624555711093,0.0257988253482351,0.0311052022982481
"US",3,"FE",0.435719369895301,0.071135712318671,-0.0260354671484942
"US",6,"FE",0.413624555711093,0.0506505649483706,0.00223956366361268
"US",3,"FE-HE",0.440415381682145,0.0196892199929668,0.0233305358514836
"US",6,"FE-HE",0.415613358337053,0.0240869633689155,0.025956297333348
"US",3,"FE-HO",0.435719369895301,0.0177739801439866,0.0255285255534799
"US",6,"FE-HO",0.413624555711093,0.0227912546385065,0.0279588520238584
