"FirmCluster_k","Size_FirmCluster_k","FirmPremium_psik","SkillComplementarity_thetak","WorkerDecile_q","WorkerSkill_xq","ExpectedLogWage_wkq"
1,11159833,0,1,0.1,-0.812625373641416,-0.812625373641416
1,11159833,0,1,0.2,-0.682099255337277,-0.682099255337277
1,11159833,0,1,0.3,-0.587980740811215,-0.587980740811215
1,11159833,0,1,0.4,-0.507559940440388,-0.507559940440388
1,11159833,0,1,0.5,-0.432392552441229,-0.432392552441229
1,11159833,0,1,0.6,-0.357225164442071,-0.357225164442071
1,11159833,0,1,0.7,-0.276804364071244,-0.276804364071244
1,11159833,0,1,0.8,-0.182685849545181,-0.182685849545181
1,11159833,0,1,0.9,-0.052159731241042,-0.052159731241042
2,24877369,0.173662080824968,1.11951866751455,0.1,-0.812625373641417,-0.736087194662581
2,24877369,0.173662080824968,1.11951866751455,0.2,-0.682099255337277,-0.589960768622885
2,24877369,0.173662080824968,1.11951866751455,0.3,-0.587980740811215,-0.484593334652219
2,24877369,0.173662080824968,1.11951866751455,0.4,-0.507559940440388,-0.394560747380617
2,24877369,0.173662080824968,1.11951866751455,0.5,-0.432392552441229,-0.31040945332725
2,24877369,0.173662080824968,1.11951866751455,0.6,-0.357225164442071,-0.226258159273884
2,24877369,0.173662080824968,1.11951866751455,0.7,-0.276804364071244,-0.136225572002282
2,24877369,0.173662080824968,1.11951866751455,0.8,-0.182685849545181,-0.030858138031616
2,24877369,0.173662080824968,1.11951866751455,0.9,-0.052159731241042,0.11526828800808
3,32818861,0.38176540609461,1.3897628312333,0.1,-0.812625373641416,-0.747591133909306
3,32818861,0.38176540609461,1.3897628312333,0.2,-0.682099255337277,-0.566190786185052
3,32818861,0.38176540609461,1.3897628312333,0.3,-0.587980740811215,-0.435388372965838
3,32818861,0.38176540609461,1.3897628312333,0.4,-0.507559940440388,-0.32362253375243
3,32818861,0.38176540609461,1.3897628312333,0.5,-0.432392552441229,-0.219157691790307
3,32818861,0.38176540609461,1.3897628312333,0.6,-0.357225164442071,-0.114692849828184
3,32818861,0.38176540609461,1.3897628312333,0.7,-0.276804364071244,-0.00292701061477574
3,32818861,0.38176540609461,1.3897628312333,0.8,-0.182685849545181,0.127875402604438
3,32818861,0.38176540609461,1.3897628312333,0.9,-0.052159731241042,0.309275750328691
4,32586279,0.453745756140146,1.42031298322743,0.1,-0.812625373641416,-0.700436612542795
4,32586279,0.453745756140146,1.42031298322743,0.2,-0.682099255337277,-0.515048672065148
4,32586279,0.453745756140146,1.42031298322743,0.3,-0.587980740811215,-0.381370923921702
4,32586279,0.453745756140146,1.42031298322743,0.4,-0.507559940440388,-0.267148217033475
4,32586279,0.453745756140146,1.42031298322743,0.5,-0.432392552441229,-0.160386999942977
4,32586279,0.453745756140146,1.42031298322743,0.6,-0.357225164442071,-0.0536257828524791
4,32586279,0.453745756140146,1.42031298322743,0.7,-0.276804364071244,0.0605969240357473
4,32586279,0.453745756140146,1.42031298322743,0.8,-0.182685849545181,0.194274672179193
4,32586279,0.453745756140146,1.42031298322743,0.9,-0.052159731241042,0.379662612656841
5,23192814,0.513200012480519,1.42524290180514,0.1,-0.812625373641416,-0.644988533128661
5,23192814,0.513200012480519,1.42524290180514,0.2,-0.682099255337277,-0.458957109515509
